OCS Partner,Program Name,Program Country,Term,Cost Comparison to Grinnell (see Key tab),Estimated OCS Grant for Need-Based Aid Recipients (per semester),Estimated Loan Expectation for Need-Based Aid Recipients (per semester)*,
ACM,ACM Japan at Waseda University,Japan,Semester,3,"$1,000-$2,500",$0 ,
ACM,ACM Japan at Waseda University,Japan,Academic Year,3,"$500-$1,500",$0 ,
AIT,"AIT Budapest, Hungary",Hungary,Semester,2,"$0-$1,000",$0 ,
American University,Washington Semester at American University,USA,Semester,5,"$2,500 ","$1,000-$2,500",
AMIDEAST,"AMIDEAST Amman, Jordan",Jordan,Semester,1,$0 ,$0 ,
AMIDEAST,"AMIDEAST Rabat, Morocco",Morocco,Semester,1,$0 ,$0 ,
Arcadia,Arcadia: University of New South Wales,Australia,Semester,5,"$2,500 ","$500-$3,500",
Arcadia,Arcadia: University of Otago,New Zealand,Semester,4,"$500-$2,500",$0-$500,
Arcadia,"Arcadia: Goldsmiths, University of London",United Kingdom,Semester,3,"$500-$1,500",$0 ,
Arcadia,Arcadia: Queen's University Belfast,United Kingdom,Semester,2,"$0-$1,000",$0 ,
Arcadia,Arcadia: Intern Philly,USA,Semester,3,"$500-$1,500",$0 ,
BSM,"BSM Budapest, Hungary",Hungary,Semester,3,"$1,000-$2,000",$0 ,
Carleton,Carleton Buddhist Studies in India,India,Semester,5,"$2,500 ","$0-$1,500",
Carleton,Carleton in Tanzania,Tanzania,Semester,4,"$1,500-$2,500",$0-$500,
Carleton,Carleton Women's and Gender Studies in Europe,Various,Semester,5,"$2,500 ","$500-$1,500",
CASA,"CASA Santiago, Chile",Chile,Semester,2,"$0-$1,000",$0 ,
CASA,"CASA Trinity College in Dublin, Ireland",Ireland,Semester,5,"$2,500 ","$2,000-$3,000",
CASA,"CASA Barcelona, Spain",Spain,Semester,4,"$1,000-$2,500","$0-$1,500",
CASA,"CASA Granada, Spain: Spanish Language and Culture Track",Spain,Semester,1,$0 ,$0 ,
CASA,"CASA Granada, Spain: University Studies Track",Spain,Semester,3,"$1,500-$2,500",$0 ,
CASA,"CASA Seville, Spain",Spain,Semester,3,"$1,500-$2,500",$0 ,
CET,CET Prague (including Film Production),Czech Republic,Semester,2,$0-$500,$0 ,
CET,CET Taiwan,Taiwan,Semester,2,"$0-$1,250",$0 ,
CIEE,"CIEE Liberal Arts in Buenos Aires, Argentina",Argentina,Semester,3,"$1,500-$2,500",$0 ,
