"","ApplicationCycle","Ethnicity","AnticipatedCompletionDate","ProgramName","CountryName","ProgramCity","ProgramRegion","ApplicationID","ProgramYear","ProgramTerm","ApplicationStatusAlias","Gender","PreferredGender","AcademicYear"
"1","Academic Year 2016","","","IES Abroad Salamanca - Study in Salamanca","Spain","Salamanca","Europe",28667,2016,"Academic Year","Approved","M",NA,"2016-2017"
"2","Academic Year 2016","International student","May 21 2018 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",28668,2016,"Academic Year","Approved","F",NA,"2016-2017"
"3","Academic Year 2016","International student","May 21 2018 12:00AM","X - Dartmouth College Engineering Program","United States","Hanover, NH","North America",28669,2016,"Academic Year","Approved","M",NA,"2016-2017"
"4","Academic Year 2016","International student","May 21 2018 12:00AM","X - Smith College: Geneva","Switzerland","Geneva","Europe",28670,2016,"Academic Year","Approved","F",NA,"2016-2017"
"5","Academic Year 2016","","","IES Abroad Nantes - Study in Nantes","France","Nantes","Europe",28672,2016,"Academic Year","Approved","F",NA,"2016-2017"
"6","Academic Year 2017","White","May 20 2019 12:00AM","Middlebury School in Russia: Irkutsk","Russia","Irkustk","Europe",41132,2017,"Academic Year","Intend to Participate","F",NA,"2017-2018"
"7","Academic Year 2017","International student","May 20 2019 12:00AM","X - The Swedish Program: Liberal Arts at the Stockholm School of Economics","Sweden","Stockholm","Europe",43227,2017,"Academic Year","Approved","M",NA,"2017-2018"
"8","Academic Year 2017","International student","May 20 2019 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",43393,2017,"Academic Year","Approved","M",NA,"2017-2018"
"9","Academic Year 2018","Asian","May 18 2020 12:00AM","Leiden University College","Netherlands","The Hague","Europe",77148,2018,"Academic Year","Intend to Participate","M",NA,"2018-2019"
"10","Academic Year 2018","White","May 18 2020 12:00AM","CET Prague Film Production","Czech Republic","Prague","Europe",81993,2018,"Academic Year","Intend to Participate","F",NA,"2018-2019"
"11","Academic Year 2018","White","May 18 2020 12:00AM","Wayne State University Munich Program","Germany","Munich","Europe",84209,2018,"Academic Year","Intend to Participate","F",NA,"2018-2019"
"12","Academic Year 2018","Ethnicity and race unknown","May 18 2020 12:00AM","Arcadia Abroad - University of Oxford","United Kingdom","Oxford","Europe",84336,2018,"Academic Year","Intend to Participate","M",NA,"2018-2019"
"13","Academic Year 2019","Ethnicity and race unknown","May 25 2021 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",116048,2019,"Academic Year","Intend to Participate","M",NA,"2019-2020"
"14","Academic Year 2019","Hispanic (of any race)","May 25 2021 12:00AM","Japan Study at Waseda University (Earlham College)","Japan","Tokyo","Asia",120556,2019,"Academic Year","Intend to Participate","F",NA,"2019-2020"
"15","Academic Year 2019","International student","Dec 17 2021 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",121893,2019,"Academic Year","Intend to Participate","F",NA,"2019-2020"
"16","Academic Year 2019","International student","May 25 2021 12:00AM","Hamilton in France","France","Paris","Europe",122487,2019,"Academic Year","Intend to Participate","M",NA,"2019-2020"
"17","Academic Year 2019","Asian","Dec 18 2020 12:00AM","Bard-Smolny Study Abroad Program","Russia","St Petersburg","Europe",127314,2019,"Academic Year","Intend to Participate","F",NA,"2019-2020"
"18","Academic Year 2019","White","May 25 2021 12:00AM","X - IFSA Rothberg International School Partnership","Israel","Jerusalem","MENA",127316,2019,"Academic Year","Intend to Participate","M",NA,"2019-2020"
"19","Academic Year 2021","White","May 23 2022 12:00AM","Wayne State University Munich Program","Germany","Munich","Europe",196567,2021,"Academic Year","Intend to Participate","M",NA,"2021-2022"
"20","Academic Year 2021","International student","May 22 2023 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",205753,2021,"Academic Year","Intend to Participate","F",NA,"2021-2022"
"21","Academic Year 2021","International student","May 22 2023 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",205764,2021,"Academic Year","Intend to Participate","F",NA,"2021-2022"
"22","Academic Year 2021","White","May 22 2023 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",207430,2021,"Academic Year","Intend to Participate","M",NA,"2021-2022"
"23","Academic Year 2021","International student","May 22 2023 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",208284,2021,"Academic Year","Intend to Participate","M",NA,"2021-2022"
"24","Academic Year 2022","International student","May 20 2024 12:00AM","X - Dartmouth College Engineering Program","United States","Hanover, NH","North America",230543,2022,"Academic Year","Intend to Participate","M",NA,"2022-2023"
"25","Academic Year 2023","Two or more races","May 19 2025 12:00AM","IES Abroad Nagoya Direct Enrollment - Nanzan University","Japan","Nagoya","Asia",254022,2023,"Academic Year","Intend to Participate","F",NA,"2023-2024"
"26","Academic Year 2023","White","May 19 2025 12:00AM","Japan Study at Waseda University (Earlham College)","Japan","Tokyo","Asia",254024,2023,"Academic Year","Intend to Participate","M",NA,"2023-2024"
"27","Academic Year 2023","Black or African-American","May 19 2025 12:00AM","Japan Study at Waseda University (Earlham College)","Japan","Tokyo","Asia",254028,2023,"Academic Year","Intend to Participate","F",NA,"2023-2024"
"28","Academic Year 2023","White","May 19 2025 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",255888,2023,"Academic Year","Intend to Participate","M",NA,"2023-2024"
"29","Academic Year 2023","International student","May 19 2025 12:00AM","Wayne State University Munich Program","Germany","Munich","Europe",257566,2023,"Academic Year","Intend to Participate","M",NA,"2023-2024"
"30","Academic Year 2023","International student","May 19 2025 12:00AM","London School of Economics and Political Science","United Kingdom","London","Europe",258939,2023,"Academic Year","Intend to Participate","F",NA,"2023-2024"
